title,price,region,property_size_sqm,bedrooms,bathrooms,furnishing,listing_by,user_id,is_owner,can_view_contacts,status,property_url,description,property_address,estate_name,condition,toilets,seller_or_agent_name,time_on_jiji
3bdrm Bungalow in Nkoroi for sale,6900000,"Ongata Rongai, Nkoroi",500,3,3,Unfurnished,,1080234,False,True,active,/nkoroi/houses-apartments-for-sale/3bdrm-bungalow-in-nkoroi-for-sale-eNkqmdLXeemqFOfbPKmBHSDP.html,,"Kajiado, Ongata Rongai, Nkoroi, 45 min ago",,Newly-Built,,Prophexodus General Agencies,6 y 1 m on Jiji
4bdrm Maisonette in South C for sale,35000000,"Nairobi, South C",250,4,4,Unfurnished,,1080234,False,True,active,/south-c/houses-apartments-for-sale/4bdrm-maisonette-in-south-c-for-sale-97FLUl3nXutUrYyOVI6LEz5.html,,"Nairobi, South C, 45 min ago",,Fairly Used,,Prophexodus General Agencies,6 y 1 m on Jiji
"5bdrm Maisonette in Innercore, Nairobi Central for sale",9500000,"Nairobi, Nairobi Central",2400,5,2,Unfurnished,,3541385,False,True,active,/nairobi-central/houses-apartments-for-sale/5bdrm-maisonette-in-innercore-nairobi-central-for-sale-f5PAvUuqDBcApEvRW38o7dD8.html,,"Nairobi, Nairobi Central, 2 hours ago",,Renovated,,Victor Gitahi,4 y on Jiji
"4bdrm Villa in Membly, Membley Estate for sale",33000000,"Ruiru, Membley Estate",250,4,4,Unfurnished,Agent,5880303,False,True,active,/membley-estate/houses-apartments-for-sale/4bdrm-villa-in-membly-membley-estate-for-sale-CqykFjc00zLV0YGVjRib3Ha0.html,,"Kiambu, Ruiru, Membley Estate, 2 hours ago",,Under construction,4,Oxford Gate Real Estate,10 m on Jiji
"2bdrm House in Scode, Kiamaina for sale",5200000,"Bahati, Kiamaina",506,2,1,Unfurnished,,5487683,False,True,active,/kiamaina/houses-apartments-for-sale/2bdrm-house-in-scode-kiamaina-for-sale-6mNbNwIagM2hZYVHGkC5Fz8U.html,,"Nakuru, Bahati / Nakuru, Kiamaina, 2 hours ago",,Fairly Used,,Sufficient Grace Traders,1 y 6 m on Jiji
"3bdrm Bungalow in Kamulu Heights, Malaa for sale",7500000,"Kamulu, Malaa",297,3,2,Unfurnished,Owner,1909713,False,True,active,/malaa/houses-apartments-for-sale/3bdrm-bungalow-in-kamulu-heights-malaa-for-sale-aQj8oGVNWQ7gYRdAg7nHrhVQ.html,,"Nairobi, Kamulu, Malaa, 2 hours ago",,Fairly Used,2,Macire Properties,6 y 1 m on Jiji
4bdrm Bungalow in Kitengela for sale,8500000,"Kajiado, Kitengela",140,4,4,Unfurnished,,6172983,False,True,active,/kitengela/houses-apartments-for-sale/4bdrm-bungalow-in-kitengela-for-sale-2Y1LiiLwToZLAMS3ZXdY4gvf.html,,"Kajiado, Kitengela, 2 hours ago",,Newly-Built,4,MK PROPERTIES,5 m on Jiji
"6bdrm Mansion in Cianda, Kiambu / Kiambu  for sale",27500000,"Kiambu, Kiambu / Kiambu ",150,6,6,Unfurnished,,559518,False,True,active,/kiambu-kiambu/houses-apartments-for-sale/6bdrm-mansion-in-cianda-kiambu-kiambu-for-sale-pApYlyPRO6vHxHj1X911dWZ8.html,,"Kiambu, Kiambu / Kiambu , 1 hour ago",,Newly-Built,6,Powerpoint Investments,6 y 1 m on Jiji
2bdrm Maisonette in Nyali Mkomani for sale,3500000,"Nyali, Nyali Mkomani",375,2,1,Unfurnished,,2402537,False,True,active,/nyali-mkomani/houses-apartments-for-sale/2bdrm-maisonette-in-nyali-mkomani-for-sale-kqATOQOpl2CGjc74VMEd6Wre.html,,"Mombasa, Nyali, Nyali Mkomani, 1 hour ago",,Fairly Used,,Wangari Mwangi,5 y 2 m on Jiji
"2bdrm Apartment in Westlands, Parklands/Highridge for sale",12500000,"Nairobi, Parklands/Highridge",128,2,3,Unfurnished,Agent,4809463,False,True,active,/parklands-highridge/houses-apartments-for-sale/2bdrm-apartment-in-westlands-parklands-highridge-for-sale-flctqB4TN7kerawTUl0wrufN.html,,"Nairobi, Parklands/Highridge, 1 hour ago",,Off-Plan,,Kelvin Ochieng,2 y 6 m on Jiji
Furnished 2bdrm Apartment in Westlands for sale,10000000,"Nairobi, Westlands",500,2,2,Furnished,Agent,5714203,False,True,active,/westlands/houses-apartments-for-sale/furnished-2bdrm-apartment-in-westlands-for-sale-up6kJYcKBJ9vvd37eSmfzRMP.html,,"Nairobi, Westlands, 3 hours ago",,Newly-Built,2,Purity Murerwa,1 y 1 m on Jiji
5bdrm Maisonette in Jamhuri Estate Ngong for sale,25000000,"Jamhuri, Jamhuri Estate",100,5,5,Unfurnished,Agent,1810530,False,True,active,/jamhuri-estate/houses-apartments-for-sale/5bdrm-maisonette-in-jamhuri-estate-ngong-for-sale-aEYY8bbNADXdvXMlghMPtby6.html,,"Nairobi, Jamhuri, Jamhuri Estate, 3 hours ago",,Fairly Used,6,Jkims,6 y 1 m on Jiji
1bdrm Apartment in Hurlingham for sale,7600000,"Kilimani, Hurlingham",64,1,1,Unfurnished,Agent,5547880,False,True,active,/hurlingham/houses-apartments-for-sale/1bdrm-apartment-in-hurlingham-for-sale-pWOynTh2AOc7lFMpe6Coa4mT.html,,"Nairobi, Kilimani, Hurlingham, 3 hours ago",,Newly-Built,,Debra Joy,1 y 5 m on Jiji
4bdrm Bungalow in Kitengela (Acacia) for sale,8000000,"Kajiado, Kitengela",180,4,3,Unfurnished,,6172983,False,True,active,/kitengela/houses-apartments-for-sale/4bdrm-bungalow-in-kitengela-acacia-for-sale-hFUdDMXtU6OCj28ms3ej7zEN.html,,"Kajiado, Kitengela, 3 hours ago",,Newly-Built,3,MK PROPERTIES,5 m on Jiji
4bdrm Maisonette in Kikuyu for sale,22000000,"Kiambu, Kikuyu",260,4,4,Unfurnished,,2676581,False,True,active,/kikuyu/houses-apartments-for-sale/4bdrm-maisonette-in-kikuyu-for-sale-55SlIAu0ySgLR6JYqfu1kPxy.html,,"Kiambu, Kikuyu, 3 hours ago",,Newly-Built,4,KIJANI AFRICA,4 y 10 m on Jiji
6bdrm Maisonette in Kikuyu for sale,22000000,"Kiambu, Kikuyu",200,6,6,Unfurnished,Agent,2363973,False,True,active,/kikuyu/houses-apartments-for-sale/6bdrm-maisonette-in-kikuyu-for-sale-nnoinExDwA32LbVGkLIsDXAl.html,,"Kiambu, Kikuyu, 3 hours ago",,Off-Plan,6,Catherine Realtor,5 y 3 m on Jiji
"4bdrm Bungalow in Maasai Road, Matasia for sale",7800000,"Ngong, Matasia",450,4,4,Unfurnished,Agent,2917510,False,True,active,/matasia/houses-apartments-for-sale/4bdrm-bungalow-in-maasai-road-matasia-for-sale-mmHrmiOgiS87sNOQIiwnuEgd.html,,"Kajiado, Ngong, Matasia, 3 hours ago",,Renovated,4,Tabitha Wairimu,4 y 8 m on Jiji
"Furnished 6bdrm Mansion in In Diani Beach Near, Ukunda for sale",230000000,"Kwale, Ukunda",5000,6,6,Furnished,Agent,1947455,False,True,active,/ukunda/houses-apartments-for-sale/furnished-6bdrm-mansion-in-in-diani-beach-near-ukunda-for-sale-2CmLyba3ajLX3s2ZZU4eBxCW.html,,"Kwale, Ukunda, 3 hours ago",,Newly-Built,8,Stephen Kazungu,6 y on Jiji
5bdrm Apartment in Mtwapa for sale,25000000,"Kilifi, Mtwapa",435,5,5,Unfurnished,Owner,2713793,False,True,active,/mtwapa/houses-apartments-for-sale/5bdrm-apartment-in-mtwapa-for-sale-AYSWEz3xEtZ72nWDq2rFsGPw.html,,"Kilifi, Mtwapa, 3 hours ago",,Fairly Used,,Peninah Okul,4 y 10 m on Jiji
3bdrm House in Ukunda Shamu Road for sale,3700000,"Kwale, Ukunda",500,3,3,Unfurnished,Agent,1947455,False,True,active,/ukunda/houses-apartments-for-sale/3bdrm-house-in-ukunda-shamu-road-for-sale-7XZOP4oFXe8vSAvnPgXqBmVP.html,,"Kwale, Ukunda, 3 hours ago",,Newly-Built,3,Stephen Kazungu,6 y on Jiji
3bdrm Apartment in Riruta Azar for sale,7500000,"Dagoretti, Riruta",118,3,2,Semi-Furnished,,2359195,False,True,active,/riruta/houses-apartments-for-sale/3bdrm-apartment-in-riruta-azar-for-sale-kuYZfXf3mCGpYBDZjPikg61c.html,,"Nairobi, Dagoretti, Riruta, 3 hours ago",,Under construction,2,Maureen Realtor,5 y 3 m on Jiji
3bdrm Apartment in Nyayo Estate for sale,8500000,"Embakasi, Nyayo Estate",250,3,2,Unfurnished,Owner,2439723,False,True,active,/nyayo-estate/houses-apartments-for-sale/3bdrm-apartment-in-nyayo-estate-for-sale-33ZradQrxOHt3OGKjLLzGLSU.html,,"Nairobi, Embakasi, Nyayo Estate, 3 hours ago",,Fairly Used,2,Sureboys Movers And Packers,5 y 1 m on Jiji
1bdrm Apartment in Ngando for sale,4500000,"Dagoretti, Ngando",55,1,1,Unfurnished,,4475669,False,True,active,/ngando/houses-apartments-for-sale/1bdrm-apartment-in-ngando-for-sale-rNiQ45SD4a7A2q9mGAghr2Z8.html,,"Nairobi, Dagoretti, Ngando, 3 hours ago",,Fairly Used,1,JAD By Mwenda,2 y 11 m on Jiji
"3bdrm Bungalow in Kibendera, Kamakis for sale",8000000,"Ruiru, Kamakis",3200,3,3,Unfurnished,Agent,2917510,False,True,active,/kamakis/houses-apartments-for-sale/3bdrm-bungalow-in-kibendera-kamakis-for-sale-5t6NDeEXCNGMTN6pA5EpxBJN.html,,"Kiambu, Ruiru, Kamakis, 3 hours ago",,Under construction,3,Tabitha Wairimu,4 y 8 m on Jiji
"Furnished 5bdrm House in Coconut Groove 3 End, Ukunda for sale",41000000,"Kwale, Ukunda",1600,5,4,Furnished,Agent,1947455,False,True,active,/ukunda/houses-apartments-for-sale/furnished-5bdrm-house-in-coconut-groove-3-end-ukunda-for-sale-1oeRKD8FaNnK5aJUF65g8zzn.html,,"Kwale, Ukunda, 3 hours ago",,Renovated,4,Stephen Kazungu,6 y on Jiji
"3bdrm Bungalow in Darad Estate Not Far, Ukunda for sale",30000000,"Kwale, Ukunda",2000,3,3,Unfurnished,,1947455,False,True,active,/ukunda/houses-apartments-for-sale/3bdrm-bungalow-in-darad-estate-not-far-ukunda-for-sale-wXKxQtrv7wZmoBAivPVm9Sm6.html,,"Kwale, Ukunda, 3 hours ago",,Newly-Built,,Stephen Kazungu,6 y on Jiji
"3bdrm Apartment in Syokimau, Gateway Mall Area for sale",10000000,"Syokimau, Gateway Mall Area",145,3,3,Unfurnished,,1945149,False,True,active,/gateway-mall-area/houses-apartments-for-sale/3bdrm-apartment-in-syokimau-gateway-mall-area-for-sale-fG49CKaT3rYMmCeu8GXw6YAU.html,,"Machakos, Syokimau, Gateway Mall Area, 52 min ago",,Newly-Built,,Jay Mwamburi,6 y on Jiji
"5bdrm Maisonette in Syokimau, Gateway Mall Area for Sale",22500000,"Syokimau, Gateway Mall Area",260,5,3,Unfurnished,,1945149,False,True,active,/gateway-mall-area/houses-apartments-for-sale/5bdrm-maisonette-in-syokimau-gateway-mall-area-for-sale-htQzyg379NRqyLQ0RMqxtRsv.html,,"Machakos, Syokimau, Gateway Mall Area, 51 min ago",,Fairly Used,,Jay Mwamburi,6 y on Jiji
1bdrm Block of Flats in Utange for sale,12000000,"Bamburi, Utange",500,1,1,Unfurnished,Owner,5480296,False,True,active,/utange/houses-apartments-for-sale/1bdrm-block-of-flats-in-utange-for-sale-JBTvBxAzR98F5FG5Mc7YRPF.html,,"Mombasa, Bamburi, Utange, 4 hours ago",,Newly-Built,1,Racquel Wam,1 y 6 m on Jiji
"4bdrm Maisonette in Syokimau, Gateway Mall Area for sale",18000000,"Syokimau, Gateway Mall Area",230,4,4,Unfurnished,,1945149,False,True,active,/gateway-mall-area/houses-apartments-for-sale/4bdrm-maisonette-in-syokimau-gateway-mall-area-for-sale-9QCmDFdEb75FIWKtxHTqt83g.html,,"Machakos, Syokimau, Gateway Mall Area, 49 min ago",,Newly-Built,,Jay Mwamburi,6 y on Jiji
"5bdrm Maisonette in Syokimau, Gateway Mall Area for sale",26000000,"Syokimau, Gateway Mall Area",230,5,4,Unfurnished,,1945149,False,True,active,/gateway-mall-area/houses-apartments-for-sale/5bdrm-maisonette-in-syokimau-gateway-mall-area-for-sale-xoORZDxGW2218cfT2ooeNyNV.html,,"Machakos, Syokimau, Gateway Mall Area, 48 min ago",,Newly-Built,,Jay Mwamburi,6 y on Jiji
4bdrm Maisonette in Katani for sale,16500000,"Syokimau, Katani",315,4,4,Unfurnished,Agent,1945149,False,True,active,/katani/houses-apartments-for-sale/4bdrm-maisonette-in-katani-for-sale-A7wuSoD3KlKPMRr5QNTYs6aO.html,,"Machakos, Syokimau, Katani, 46 min ago",,Newly-Built,5,Jay Mwamburi,6 y on Jiji
Furnished 4bdrm Townhouse/Terrace for sale,59000000,"Nairobi, Nairobi Central",250,4,4,Furnished,Agent,907809,False,True,active,/nairobi-central/houses-apartments-for-sale/furnished-4bdrm-townhouse-terrace-for-sale-4UEVwGbOfGhPwb2WUS11Uwe8.html,,"Nairobi, Nairobi Central, 46 min ago",,Fairly Used,4,Jee Rides motors,6 y 1 m on Jiji
5bdrm Maisonette in Katani for Sale,25000000,"Syokimau, Katani",305,5,4,Unfurnished,,1945149,False,True,active,/katani/houses-apartments-for-sale/5bdrm-maisonette-in-katani-for-sale-vYQEjQPfzzhsSuxs5mxgTjtP.html,,"Machakos, Syokimau, Katani, 44 min ago",,Newly-Built,,Jay Mwamburi,6 y on Jiji
"3bdrm Apartment in Syokimau, Hotel 67 Area for sale",13000000,"Syokimau, Hotel 67 Area",180,3,4,Unfurnished,Agent,1945149,False,True,active,/hotel-67-area/houses-apartments-for-sale/3bdrm-apartment-in-syokimau-hotel-67-area-for-sale-CpBGOPr9Aoc7WqyMJDiLOtiI.html,,"Machakos, Syokimau, Hotel 67 Area, 44 min ago",,Newly-Built,4,Jay Mwamburi,6 y on Jiji
"4bdrm Maisonette in Syokimau Close, Gateway Mall Area for sale",20000000,"Syokimau, Gateway Mall Area",238,4,4,Unfurnished,,1945149,False,True,active,/gateway-mall-area/houses-apartments-for-sale/4bdrm-maisonette-in-syokimau-close-gateway-mall-area-for-sale-1gHpjNoBRjxU7MKuRvg6FAZt.html,,"Machakos, Syokimau, Gateway Mall Area, 43 min ago",,Newly-Built,,Jay Mwamburi,6 y on Jiji
3bdrm Bungalow in Kenyatta Road for sale,7000000,"Juja, Kenyatta Road / Theta ",460,3,4,Unfurnished,Owner,2074023,False,True,active,/theta/houses-apartments-for-sale/3bdrm-bungalow-in-kenyatta-road-for-sale-adyPxpbUpNXCERIrx7fAKjmA.html,,"Kiambu, Juja, Kenyatta Road / Theta , 4 hours ago",,Newly-Built,4,Lulu Concepts Ventures LTD,5 y 9 m on Jiji
4bdrm Maisonette in Kasarani for sale,5000000,"Nairobi, Kasarani",800,4,3,Unfurnished,Agent,1876902,False,True,active,/kasarani/houses-apartments-for-sale/4bdrm-maisonette-in-kasarani-for-sale-qhgPUmwnWLacjcbuBFrwII9S.html,,"Nairobi, Kasarani, 4 hours ago",,Uncompleted Building,,Developer Mejah,6 y 1 m on Jiji
Furnished Studio Apartment in Juja for sale,2400000,"Kiambu, Juja",45,1,1,Furnished,Agent,4828460,False,True,active,/juja/houses-apartments-for-sale/furnished-studio-apartment-in-juja-for-sale-z6CfM5cN4UMNNqosqAZy2xLY.html,,"Kiambu, Juja, 3 hours ago",,Under construction,1,Beamers Properties,2 y 6 m on Jiji
"3bdrm Maisonette in Kiamwathi, Ruringu for sale",17000000,"Nyeri Town, Ruringu",100,3,2,Unfurnished,,3573640,False,True,active,/ruringu/houses-apartments-for-sale/3bdrm-maisonette-in-kiamwathi-ruringu-for-sale-kWGNkzLp0xc5r2tAcJfIrAZZ.html,,"Nyeri, Nyeri Town, Ruringu, 3 hours ago",,Fairly Used,2,David Mwangi,4 y on Jiji
2bdrm Bungalow in Kabete for sale,12000000,"Kiambu, Kabete",929,2,1,Unfurnished,Owner,4378803,False,True,active,/kabete/houses-apartments-for-sale/2bdrm-bungalow-in-kabete-for-sale-bbCmuzIraU9guIH9vmAnB140.html,,"Kiambu, Kabete, 3 hours ago",,Fairly Used,1,Stephen Waweru,3 y on Jiji
3bdrm Bungalow in Ngong for sale,12000000,"Kajiado, Ngong",450,3,3,Unfurnished,Agent,2917510,False,True,active,/ngong/houses-apartments-for-sale/3bdrm-bungalow-in-ngong-for-sale-uxO3Nmt7Sf2JJollVNrJkGPf.html,,"Kajiado, Ngong, 3 hours ago",,Fairly Used,3,Tabitha Wairimu,4 y 8 m on Jiji
"4bdrm Maisonette in Syokimau, Gateway Mall Area for sale",55000000,"Syokimau, Gateway Mall Area",340,4,4,Unfurnished,,1945149,False,True,active,/gateway-mall-area/houses-apartments-for-sale/4bdrm-maisonette-in-syokimau-gateway-mall-area-for-sale-g7fgWiON6C5mnQLcFiIKZf4C.html,,"Machakos, Syokimau, Gateway Mall Area, 1 hour ago",,Fairly Used,,Jay Mwamburi,6 y on Jiji
"2bdrm Apartment in Westlands, Nairobi Central for sale",15500000,"Nairobi, Nairobi Central",375,2,2,Unfurnished,Agent,907809,False,True,active,/nairobi-central/houses-apartments-for-sale/2bdrm-apartment-in-westlands-nairobi-central-for-sale-5R9MuxWsC01rpj9y8fK3GTEn.html,,"Nairobi, Nairobi Central, 1 hour ago",,Newly-Built,2,Jee Rides motors,6 y 1 m on Jiji
"Furnished 3bdrm Apartment in Bell Crest Garden, Nairobi Central",19500000,"Nairobi, Nairobi Central",170,3,3,Furnished,Agent,907809,False,True,active,/nairobi-central/houses-apartments-for-sale/furnished-3bdrm-apartment-in-bell-crest-garden-nairobi-central-nu2901bQENG6OmULCq8xam6Q.html,,"Nairobi, Nairobi Central, 1 hour ago",,Newly-Built,2,Jee Rides motors,6 y 1 m on Jiji
3bdrm Maisonette in Katani for sale,10000000,"Syokimau, Katani",260,3,4,Unfurnished,,1945149,False,True,active,/katani/houses-apartments-for-sale/3bdrm-maisonette-in-katani-for-sale-hbAg1z4K3M3oEVmpu3AWGduZ.html,,"Machakos, Syokimau, Katani, 1 hour ago",,Under construction,,Jay Mwamburi,6 y on Jiji
"4bdrm Maisonette in Syokimau, Gateway Mall Area for sale",21000000,"Syokimau, Gateway Mall Area",280,4,3,Unfurnished,,1945149,False,True,active,/gateway-mall-area/houses-apartments-for-sale/4bdrm-maisonette-in-syokimau-gateway-mall-area-for-sale-Gtt0RNiSRfosEnjtjKyrjkL.html,,"Machakos, Syokimau, Gateway Mall Area, 1 hour ago",,Fairly Used,,Jay Mwamburi,6 y on Jiji
"5bdrm Maisonette in Syokimau, Gateway Mall Area for Sale",25000000,"Syokimau, Gateway Mall Area",238,5,4,Unfurnished,,1945149,False,True,active,/gateway-mall-area/houses-apartments-for-sale/5bdrm-maisonette-in-syokimau-gateway-mall-area-for-sale-tRF9FZaSFz5Ok4F9SzQXzTe9.html,,"Machakos, Syokimau, Gateway Mall Area, 1 hour ago",,Newly-Built,,Jay Mwamburi,6 y on Jiji
"5bdrm Maisonette in Syokimau, Gateway Mall Area for sale",30000000,"Syokimau, Gateway Mall Area",350,5,6,Unfurnished,Agent,1945149,False,True,active,/gateway-mall-area/houses-apartments-for-sale/5bdrm-maisonette-in-syokimau-gateway-mall-area-for-sale-x3rgfcYq0Q32kWHdvSrSeK2M.html,,"Machakos, Syokimau, Gateway Mall Area, 1 hour ago",,Fairly Used,6,Jay Mwamburi,6 y on Jiji
"Furnished 1bdrm Apartment in Siaya Estate, Nairobi Central for sale",13800000,"Nairobi, Nairobi Central",80,1,1,Furnished,Agent,907809,False,True,active,/nairobi-central/houses-apartments-for-sale/furnished-1bdrm-apartment-in-siaya-estate-nairobi-central-for-sale-CooDB17GDRIxPoBVnylfsmeQ.html,,"Nairobi, Nairobi Central, 1 hour ago",,Newly-Built,1,Jee Rides motors,6 y 1 m on Jiji
"4bdrm Bungalow in Piai Embu, Central Ward for sale",12500000,"Embu, Central Ward",300,4,3,Unfurnished,Agent,1945149,False,True,active,/central-ward/houses-apartments-for-sale/4bdrm-bungalow-in-piai-embu-central-ward-for-sale-vW5bS48tXOuv0KjXLrctVkJl.html,,"Embu, Central Ward, 1 hour ago",,Fairly Used,3,Jay Mwamburi,6 y on Jiji
3bdrm Bungalow in Kitengela for sale,6000000,"Kajiado, Kitengela",230,3,3,Unfurnished,,1945149,False,True,active,/kitengela/houses-apartments-for-sale/3bdrm-bungalow-in-kitengela-for-sale-uZAxpHDvlL9O5aZ0YoG2sonn.html,,"Kajiado, Kitengela, 1 hour ago",,Newly-Built,,Jay Mwamburi,6 y on Jiji
"Furnished 8bdrm Villa in Casurina, Town Centre for sale",70000000,"Malindi, Town Centre",360,8,5,Furnished,,1945149,False,True,active,/town-centre/houses-apartments-for-sale/furnished-8bdrm-villa-in-casurina-town-centre-for-sale-BMLOmB3HD3R3uZ3wJRmjVk2.html,,"Kilifi, Malindi, Town Centre, 1 hour ago",,Fairly Used,5,Jay Mwamburi,6 y on Jiji
3bdrm Bungalow in Kitengela for sale,8500000,"Kajiado, Kitengela",280,3,2,Unfurnished,Agent,1945149,False,True,active,/kitengela/houses-apartments-for-sale/3bdrm-bungalow-in-kitengela-for-sale-8bNN3MXnCj9ArV0YFe2m6tcE.html,,"Kajiado, Kitengela, 1 hour ago",,Newly-Built,2,Jay Mwamburi,6 y on Jiji
"4bdrm Mansion in Membley, Nairobi Central for sale",29500000,"Nairobi, Nairobi Central",258,4,4,Unfurnished,Agent,907809,False,True,active,/nairobi-central/houses-apartments-for-sale/4bdrm-mansion-in-membley-nairobi-central-for-sale-fcjRrde6c9Yz8AD24OAESU45.html,,"Nairobi, Nairobi Central, 1 hour ago",,Newly-Built,4,Jee Rides motors,6 y 1 m on Jiji
"5bdrm Maisonette in Syokimau, Gateway Mall Area for sale",29500000,"Syokimau, Gateway Mall Area",360,5,4,Unfurnished,,1945149,False,True,active,/gateway-mall-area/houses-apartments-for-sale/5bdrm-maisonette-in-syokimau-gateway-mall-area-for-sale-dZ17NMm2K5YU4iPaXqc18bdF.html,,"Machakos, Syokimau, Gateway Mall Area, 1 hour ago",,Fairly Used,,Jay Mwamburi,6 y on Jiji
"4bdrm Maisonette in Kataki, Katani for sale",20000000,"Syokimau, Katani",360,4,4,Unfurnished,,1945149,False,True,active,/katani/houses-apartments-for-sale/4bdrm-maisonette-in-kataki-katani-for-sale-kGH3RAsy1F8KnY4vcioppLsD.html,,"Machakos, Syokimau, Katani, 1 hour ago",,Under construction,,Jay Mwamburi,6 y on Jiji
"Furnished 2bdrm Apartment in Westlands, Nairobi Central for sale",14500000,"Nairobi, Nairobi Central",100,2,2,Furnished,Agent,907809,False,True,active,/nairobi-central/houses-apartments-for-sale/furnished-2bdrm-apartment-in-westlands-nairobi-central-for-sale-vaqh6Kp4bpcIJo8OZdJZz63Y.html,,"Nairobi, Nairobi Central, 1 hour ago",,Under construction,2,Jee Rides motors,6 y 1 m on Jiji
"4bdrm House in Kipkorgot, Hillside for sale",15000000,"Ainabkoi, Hillside",1000,4,4,Semi-Furnished,Agent,5786143,False,True,active,/hillside/houses-apartments-for-sale/4bdrm-house-in-kipkorgot-hillside-for-sale-iHDpMNuefMW2ViK0uTUI5RAd.html,,"Uasin Gishu, Ainabkoi, Hillside, 5 hours ago",,Newly-Built,4,Ronny Realtor,1 y on Jiji
"3bdrm Bungalow in Membley, Ruiru for sale",16000000,"Kiambu, Ruiru",300,3,3,Unfurnished,Agent,1431521,False,True,active,/ruiru/houses-apartments-for-sale/3bdrm-bungalow-in-membley-ruiru-for-sale-Ou7bHJUPgga6Td3ig0owZXt.html,,"Kiambu, Ruiru, 5 hours ago",,Fairly Used,3,Silvergate Agencies,6 y 1 m on Jiji
